出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"109/03/07","108","1","1101","台泥","120649402.00","244875629.00","365525031.00","76865453.00","78503617.00","155369070.00","53080599.00","47956296.00","65540562.00","27556827.00","-2545.00","194131739.00","--","--","16024222.00","210155961.00","--","0.00","70000.00","36.57"
"109/03/07","108","1","1102","亞泥","81800166.00","205109385.00","286909551.00","62633524.00","58305961.00","120939485.00","33614472.00","1444920.00","102703255.00","5792784.00","--","143555431.00","--","--","22414635.00","165970066.00","--","0.00","0.00","42.71"
"109/03/07","108","1","1103","嘉泥","10174827.00","24261266.00","34436093.00","3121579.00","9690472.00","12812051.00","7747805.00","728856.00","9922512.00","3523028.00","-1096783.00","20825418.00","--","--","798624.00","21624042.00","--","0.00","130370320.00","32.32"
"109/03/07","108","1","1104","環泥","4047175.00","19068633.00","23115808.00","3396098.00","1482724.00","4878822.00","6536092.00","41265.00","10717505.00","826752.00","--","18121614.00","--","--","115372.00","18236986.00","--","0.00","0.00","27.73"
"109/03/07","108","1","1108","幸福","5017962.00","2489274.00","7507236.00","1863635.00","1429777.00","3293412.00","4047380.00","8.00","150026.00","16332.00","0.00","4213746.00","--","--","78.00","4213824.00","--","0.00","0.00","10.41"
"109/03/07","108","1","1109","信大","4270987.00","5644256.00","9915243.00","1648691.00","279723.00","1928414.00","3419579.00","22551.00","3046732.00","-55808.00","0.00","6433054.00","0.00","--","1553775.00","7986829.00","--","0.00","0.00","18.81"
"109/03/07","108","1","1110","東泥","1948336.00","7760051.00","9708387.00","504054.00","545204.00","1049258.00","5720008.00","188057.00","2166579.00","538654.00","-12185.00","8601113.00","--","--","58016.00","8659129.00","--","0.00","2112865.00","15.09"
"109/03/07","108","1","1201","味全","7822384.00","12794212.00","20616596.00","10215118.00","3003892.00","13219010.00","5060629.00","31936.00","2353243.00","-60960.00","--","7384848.00","--","--","12738.00","7397586.00","--","0.00","0.00","14.59"
"109/03/07","108","1","1203","味王","4352071.00","5079003.00","9431074.00","1819790.00","1495159.00","3314949.00","2400000.00","112965.00","2232511.00","176155.00","-38464.00","4883167.00","--","--","1232958.00","6116125.00","0.00","0.00","2293865.00","20.54"
"109/03/07","108","1","1210","大成","20589766.00","24125535.00","44715301.00","16749154.00","4431563.00","21180717.00","7879420.00","2948923.00","6021027.00","987748.00","-219132.00","17617986.00","--","--","5916598.00","23534584.00","--","0.00","43202318.00","23.66"
"109/03/07","108","1","1213","大飲","322938.00","1045002.00","1367940.00","373530.00","397223.00","770753.00","566226.00","21938.00","9227.00","-204.00","--","597187.00","--","--","--","597187.00","0.00","0.00","0.00","10.55"
"109/03/07","108","1","1215","卜蜂","5880732.00","10612366.00","16493098.00","6380241.00","2477583.00","8857824.00","2679910.00","1652.00","3222397.00","1396915.00","--","7300874.00","--","--","334400.00","7635274.00","0.00","0.00","0.00","27.24"
"109/03/07","108","1","1216","統一","166175745.00","300104571.00","466280316.00","155742454.00","127811208.00","283553662.00","56820154.00","3892176.00","54752477.00","-1992635.00","--","113472172.00","--","--","69254482.00","182726654.00","0.00","0.00","0.00","19.97"
"109/03/07","108","1","1217","愛之味","2080009.00","10674047.00","12754056.00","2795504.00","3613242.00","6408746.00","4945134.00","259736.00","569067.00","-174435.00","0.00","5599502.00","--","--","745808.00","6345310.00","0.00","0.00","0.00","11.32"
"109/03/07","108","1","1218","泰山","3031140.00","5585189.00","8616329.00","1753570.00","351946.00","2105516.00","4999990.00","950900.00","867791.00","-109322.00","-203876.00","6505483.00","--","--","5330.00","6510813.00","0.00","0.00","13680042.00","13.38"
"109/03/07","108","1","1219","福壽","3837342.00","4588133.00","8425475.00","2358230.00","2234449.00","4592679.00","3220139.00","32946.00","568726.00","-2742.00","--","3819069.00","--","--","13727.00","3832796.00","0.00","0.00","0.00","11.86"
"109/03/07","108","1","1220","台榮","1923856.00","1105669.00","3029525.00","391932.00","200036.00","591968.00","1770779.00","3526.00","475011.00","0.00","0.00","2249316.00","--","--","188241.00","2437557.00","--","0.00","0.00","12.70"
"109/03/07","108","1","1225","福懋油","3877535.00","2938483.00","6816018.00","1572667.00","1539994.00","3112661.00","2187030.00","121015.00","1005997.00","-52412.00","--","3261630.00","--","--","441727.00","3703357.00","--","0.00","0.00","14.91"
"109/03/07","108","1","1227","佳格","16579979.00","7008700.00","23588679.00","6068785.00","502315.00","6571100.00","9150897.00","93045.00","7703760.00","-161936.00","-21182.00","16764584.00","--","--","252995.00","17017579.00","0.00","0.00","6669471.00","18.45"
"109/03/07","108","1","1229","聯華","6521500.00","39169784.00","45691284.00","7071416.00","1338976.00","8410392.00","10521332.00","744071.00","13361442.00","2550310.00","-184763.00","26992392.00","--","--","10288500.00","37280892.00","--","0.00","5664000.00","25.79"
"109/03/07","108","1","1231","聯華食","3760700.00","3490849.00","7251549.00","2399555.00","1297695.00","3697250.00","1662813.00","72657.00","1780939.00","18996.00","--","3535405.00","--","--","18894.00","3554299.00","--","0.00","0.00","21.26"
"109/03/07","108","1","1232","大統益","4776194.00","897093.00","5673287.00","1174105.00","253383.00","1427488.00","1599749.00","23784.00","2561503.00","-7000.00","--","4178036.00","--","--","67763.00","4245799.00","0.00","0.00","0.00","26.12"
"109/03/07","108","1","1233","天仁","768254.00","1716803.00","2485057.00","440289.00","414160.00","854449.00","905919.00","46162.00","584333.00","92729.00","-2754.00","1626389.00","--","--","4219.00","1630608.00","0.00","0.00","60000.00","17.96"
"109/03/07","108","1","1234","黑松","7683227.00","15274901.00","22958128.00","2748007.00","2412946.00","5160953.00","4018711.00","184969.00","13582558.00","10937.00","0.00","17797175.00","--","--","0.00","17797175.00","--","0.00","0.00","44.29"
